,Region,curr_price,sqft,1yr,2yr,3yr,4yr,5yr,Neighborhood,Median Price Per Sq Foot,,
184,Annadale,733401,2557,701085,668769,636453,604137,571821,,,Annadale,$1.96 
135,Arden Heights,479328,1457,487636.8798,497487.3749,507864.863,518422.5009,529041.7221,,,Arden Heights,$1.69 
178,Arrochar,567602,1440,576100.7802,589339.986,603685.1991,618288.4593,632951.9254,,,,
144,Arverne,338733,1393,342756.5066,347167.3472,351740.018,356380.3022,361048.8356,,,,
4,Astoria,648403,1276,664981.4635,683709.9453,702814.9895,721985.9862,741168.5341,,,Astoria,$2.83 
200,Astoria Heights,463011,1716,472271.8971,482955.4965,493998.2098,505131.5694,516287.8097,,,Auburndale,$1.03 
90,Auburndale,864626,1668,885016.8704,907992.9759,931345.3505,954752.4894,978167.5989,,,Auburndale,$1.03 
36,Bath Beach,483064,1213,495433.5354,509273.3018,523172.2855,537073.6543,550975.1192,,,Bath Beach,$2.26 
128,Battery Park City,1115314,1866,1132102.188,1156772.391,1183149.651,1209896.619,1236723.656,,,Battery Park City,$5.20 
48,Bay Ridge,530422,1656,543640.9099,558817.755,574018.7967,589220.1374,604421.4819,,,Bay Ridge,$2.60 
149,Bay Terrace,452880,1648,463304.226,475214.1821,487356.4385,499535.0161,511719.2726,,,Bay Terrace,$1.44 
187,Bay Terrace Staten Island,539713,1967,549823.2028,562058.0045,574683.9458,587381.8962,600093.1034,,,,
124,Baychester,487741,1456,495672.4511,500086.0615,502852.7094,504837.0221,506449.7122,,,,
52,Bayside,863863,1573,881122.41,902962.7016,925655.7689,948507.5888,971388.9619,,,Bayside,$2.84 
44,Bedford Park,176075,1505,180413.6269,184632.6321,188785.3392,192917.2547,197042.6499,,,Bedford Park,$2.07 
5,Bedford-Stuyvesant,981474,1784,1006794.8,1035881.813,1065508.714,1095213.01,1124928.4,,,Bedford-Stuyvesant,$2.83 
201,Belle Harbor,956924,1752,971517.968,987687.7759,1004238.847,1020882.162,1037547.795,,,Belmont,$3.20 
87,Bellerose,617880,1334,632342.049,646354.2216,660199.4158,673982.6336,687742.848,,,Bensonhurst,$2.08 
108,Belmont,535368,1426,550710.8461,562051.0888,572264.5691,582160.8574,591967.8538,,,,
17,Bensonhurst,736805,1575,756427.9635,778250.2663,800234.7007,822231.0872,844228.3548,,,,
210,Bergen Beach,791833,1809,810384.0156,829549.7122,848736.4685,867923.9464,887111.4489,,,,
237,Blissville,1214672,2002,965192,715712,466232,216752,-32728,,,,
220,Bloomfield,627696,1531,637169.5571,649194.9584,662174.8036,675511.631,688981.9774,,,,
151,Boerum Hill,1275095,4148,1293556.739,1331529.975,1370493.929,1409508.188,1448525.001,,,Boerum Hill,$5.14 
16,Borough Park,833705,1757,853295.7087,876916.7485,900631.6709,924348.7801,948065.9403,,,Borough Park,$2.37 
216,Breezy Point,442932,1601,467032.7776,444451.8398,435457.531,440095.3462,442938.104,,,,
86,Briarwood,265015,1500,269151.1911,274350.6126,279834.0652,285401.4622,290993.6686,,,Briarwood,$2.72 
88,Brighton Beach,457058,790,466555.1558,479787.0335,493089.0468,506392.3773,519695.7325,,,Brighton Beach,$2.45 
227,Broad Channel,428343,1391,442851,457359,471867,486375,500883,,,Brooklyn Heights,$5.40 
109,Brooklyn Heights,1206278,2682,1207227.394,1242093.989,1277190.402,1312288.371,1347386.352,,,Brownsville,$1.98 
39,Brownsville,462821,1231,473959.2453,484863.1409,495720.8371,506569.4255,517416.2186,,,Bulls Head,$1.38 
143,Bull's Head,518951,1457,526750.8375,537385.934,548887.1193,560652.8694,572499.4364,,,Bushwick,$2.80 
12,Bushwick,940806,1514,1037418,1134030,1230642,1327254,1423866,,,,
224,Butler Manor,843956,1523,818132,792308,766484,740660,714836,,,,
130,Cambria Heights,497117,1242,506174.477,515377.6503,524637.6438,533919.7967,543210.5915,,,,
22,Canarsie,541432,1298,554659.0024,567357.721,579891.8915,592374.8091,604841.7626,,,Canarsie,$2.11 
131,Carnegie Hill,1571852,1787,1470533.375,1369214.75,1267896.125,1166577.5,1065258.875,,,,
138,Carroll Gardens,1395847,2561,1410436.268,1446743.339,1485915.995,1525466.753,1565067.401,,,Carroll Gardens,$3.67 
112,Castle Hill,471720,1791,485702.7665,497955.7341,509814.5014,521583.4352,533331.897,,,Castle Hill,$2.30 
180,Castleton Corners,588127,1330,597516.4069,609838.531,623126.9806,636733.833,650445.5985,,,Castleton Corners,$2.24 
226,Central Park,1823942,1827,1835832.783,1847794.578,1859756.373,1871718.168,1883679.963,,,Central Park,$7.53 
236,Charleston,705775,1807,720717.8915,737485.6798,754265.5826,771045.5658,787825.5495,,,,
53,Chelsea,996408,5023,1003850.868,1031652.248,1060212.827,1088801.717,1117391.663,,,Chelsea,$6.77 
225,Chelsea-Travis,500894,1502,508551.6762,520302.6584,532704.7924,545210.5098,557732.705,,,,
170,Chinatown,875491,1571,889219.9615,902588.5909,915957.2202,929325.8496,942694.479,,,Chinatown,$5.00 
207,City Island,544102,1729,552071.6706,560361.3168,568696.189,577037.4535,585379.6215,,,City Island,$1.88 
166,Clason Point,457139,1544,469293.2709,479425.6645,489454.0175,499477.0167,509499.7405,,,Clason Point,$2.24 
219,Clifton,494685,1962,501384.3848,510851.2667,521077.2699,531511.4992,542002.8447,,,Clifton,$0.82 
99,Clinton Hill,689182,2606,711936.9636,736532.5873,761188.0187,785845.3935,810502.8314,,,Clinton Hill,$3.16 
181,Cobble Hill,1343590,4109,1379033.544,1422032.063,1465188.734,1508348.765,1551508.866,,,Cobble Hill,$4.42 
93,College Point,707454,1356,716660.2441,731748.4467,748303.0452,765223.2221,782234.5391,,,,
206,Columbia Street Waterfront District,1041144,1823,1068575.99,1098328.805,1128384.142,1158478.914,1188578.827,,,,
185,Concord,597652,1537,607441.6369,617513.0053,627765.4438,638134.2569,648577.8644,,,,
56,Coney Island,434735,1464,444522.532,456004.9426,467585.2836,479171.283,490757.6094,,,Coney Island,$3.09 
70,Co-op City,525536,1909,542434.7207,555510.5564,566591.0187,576629.9865,586125.341,,,Corona,$2.24 
14,Corona,367823,1346,376218.4467,385159.7739,394236.227,403346.1289,412464.3107,,,,
183,Country Club,590531,1603,605668.4252,620167.1081,634647.5254,649127.4204,663607.3005,,,,
8,Crown Heights,844531,2197,852791.6918,871963.4932,893576.9159,915736.7097,938018.767,,,Crown Heights,$2.94 
208,Dongan Hills,530573,1387,541216.5422,551997.5136,562849.1328,573737.0696,584643.6761,,,Dongan Hills,$1.39 
156,Downtown,683130,1937,639385.4928,583369.7038,520373.0214,450395.5755,373437.3628,,,Downtown Brooklyn,$5.11 
213,DUMBO,1647680,1537,1686145.888,1732121.596,1778565.124,1825037.794,1871512.279,,,DUMBO,$6.37 
73,Dyker Heights,950360,1475,974033.2084,1000588.108,1027385.812,1054203.975,1081023.861,,,Dyker Heights,$1.82 
34,East Elmhurst,647400,1492,664008.0102,679962.4048,695690.7083,711340.8051,726963.8495,,,,
13,East Flatbush,593686,1955,612022.381,627661.466,642340.4006,656677.5526,670893.0409,,,East Flatbush,$2.43 
2,East New York,495710,1279,509132.5896,522238.1034,535327.674,548416.443,561505.1717,,,East New York,$2.80 
77,East Tremont,226203,1425,230541.5754,235292.3119,240067.5191,244844.179,249620.9253,,,,
30,East Village,928588,3637,957731.7541,982791.7798,1007851.805,1032911.831,1057971.857,,,East Village,$5.71 
169,Eastchester,465848,1748,479063.4038,489257.3975,498643.9787,507814.7947,516927.9516,,,Eastchester,$2.07 
218,Elm Park,383865,1949,389073.9265,397045.3591,405452.2225,413927.7192,422414.034,,,,
18,Elmhurst,395681,1469,401810.5812,410213.6765,419210.1518,428361.4975,437553.2638,,,Elmhurst,$2.34 
106,Eltingville,566523,1511,576366.0538,588058.6092,600395.3991,612956.5945,625595.9566,,,Eltingville,$1.45 
147,Emerson Hill,666755,3153,677431.8288,691155.8319,705893.1579,720967.4596,736153.8208,,,,
27,Far Rockaway,500448,1710,509774.9174,516757.9234,522423.6774,527349.1502,531858.5933,,,,
205,Fieldston,533349,3076,528352.547,515220.2286,499301.7197,480743.7377,459550.3063,,,,
89,Financial District,1356260,1998,1158692,961124,763556,565988,368420,,,,
7,Flatbush,580081,1641,589083.5867,604444.8627,620800.4488,637311.5155,653846.8947,,,,
95,Flatiron District,1278486,1594,1193537.871,1078667.086,940012.6989,777846.0614,592179.1681,,,,
40,Flatlands,552506,1489,564672.4423,577408.3336,590310.6281,603261.5486,616226.6785,,,,
146,Floral Park,664716,1352,676687.2265,688723.5034,700787.1142,712862.2106,724942.1331,,,,
24,Flushing,471439,1644,482647.5512,495389.595,508389.8805,521433.6541,534484.7512,,,,
28,Forest Hills,390010,1903,398827.9921,409320.1929,420010.2531,430723.6965,441439.9033,Far Rockaway,$2.30 ,,
211,Forest Hills Gardens,1591181,1824,1638315.602,1684131.445,1729884.03,1775633.581,1821382.986,Financial District,$5.66 ,,
68,Fort Greene,736894,2462,749306.2479,770890.6288,792691.4366,814497.3513,836303.3865,Flatbush,$2.70 ,,
92,Fort Hamilton,440431,1780,452526.9662,465330.4094,478145.9557,490961.709,503777.4659,Flatiron District,$7.10 ,,
229,Fort Wadsworth,599433,1903,615267.0151,633097.2373,651011.8641,668930.0597,686848.4061,Flatlands,$2.10 ,,
103,Fresh Meadows,894234,1583,915460.2469,939119.5504,963249.6717,987470.9004,1011709.759,Flushing,$2.50 ,,
203,Garment District,1129374,1747,1113184.158,1067110.985,1009506.006,943422.8151,869369.5113,Fordham Heights,$2.28 ,,
173,Georgetown,578587,1699,593335.2947,608083.5895,622831.8842,637580.1789,652328.4737,Fordham Manor,$1.80 ,,
199,Gerritsen Beach,526087,1292,541721.126,555326.9479,568508.9078,581602.2918,594677.1658,Forest Hills,$2.44 ,,
142,Glen Oaks,360242,1243,368099.3835,376384.7122,384671.3133,392957.9182,401244.5231,Fort Greene,$5.19 ,,
80,Glendale,687200,1400,702119.9216,717554.3811,733195.8953,748918.9024,764673.9836,Fort Hamilton,$2.12 ,,
118,Gowanus,1204119,1656,1226798.014,1260831.403,1296602.43,1332639.379,1368717.023,Fort Wadsworth,$1.35 ,,
41,Gramercy,769719,1522,788552.6586,811052.5349,833590.109,856128.0707,878666.0364,Fresh Meadows,$2.60 ,,
158,Graniteville,397656,1820,401860.9125,408163.2394,415256.2543,422647.3443,430150.8035,Garment District,$5.43 ,,
179,Grant City,565004,1277,575231.796,587191.8134,599839.7287,612760.8211,625790.3974,Glendale,$2.06 ,,
35,Gravesend,740189,1321,761788.2849,784344.4202,806932.075,829520.7681,852109.4954,Gowanus,$4.07 ,,
102,Great Kills,550259,1402,561424.8922,574617.7068,588268.1121,602021.8213,615798.8521,Gramercy Park,$5.59 ,,
78,Greenpoint,1053106,1713,1070712.56,1094093.461,1120302.742,1147897.415,1176170.679,Grant City,$1.23 ,,
174,Greenridge,484570,1799,494157.4179,505208.8377,516679.1398,528269.2931,539893.7385,Grasmere,$1.63 ,,
55,Greenwich Village,1107031,1667,1117713.085,1147036.366,1176391.36,1205746.407,1235101.455,Gravesend,$2.10 ,,
123,Green-Wood Cemetery,990651,1650,1018174.659,1048847.897,1079746.631,1110661.51,1141577.544,Great Kills,$1.55 ,,
182,Grymes Hill,590840,2054,601709.7897,614161.5728,627262.3868,640629.4731,654105.8006,Greenpoint,$3.83 ,,
51,Hamilton Heights,664470,1676,678493.572,692264.384,706035.1869,719805.9898,733576.7928,Greenridge,$1.52 ,,
10,Harlem,755510,1638,782920.9023,810331.8047,837742.707,865153.6093,892564.5116,Greenwich Village,$6.96 ,,
111,Heartland Village,413969,1706,419941.2388,427697.9788,436136.5561,444835.6557,453634.2979,Greenwood Heights,$2.91 ,,
134,Hillcrest,800703,1470,817653.7375,836375.3981,855654.5516,875109.2057,894619.1081,Grymes Hill,$2.85 ,,
75,Hollis,547021,1512,559212.0728,570921.0923,582456.901,593930.472,605381.6797,Hell's Kitchen,$5.74 ,,
193,Holliswood,345715,2422,357023.4643,366424.8017,375803.3836,385181.6939,394560.001,Highbridge,$0.71 ,,
85,Homecrest,497790,1586,512287.6529,527236.0409,542212.1871,557190.0428,572168.0038,Hillcrest,$3.13 ,,
94,Howard Beach,480456,1902,493050.0354,504251.4292,515073.5189,525792.3001,536482.9439,Hollis,$2.47 ,,
161,Huguenot,684185,1878,693370.1522,705821.3231,719347.6693,733227.9639,747224.7784,Howard Beach,$2.09 ,,
139,Hunters Point,831139,1924,855906.2023,881534.1419,907205.6304,932879.3223,958553.1257,Inwood,$2.46 ,,
63,Inwood,561051,1754,591009.566,620968.1321,650926.6981,680885.2642,710843.8302,Jackson Heights,$3.63 ,,
32,Jackson Heights,440623,1512,448631.9674,459495.5653,470708.5545,481964.3071,493225.2938,Jamaica,$2.45 ,,
238,Jacob Riis Park,1131279,1836,1164033.886,1196788.772,1229543.658,1262298.544,1295053.43,Jamaica Estates,$2.84 ,,
9,Jamaica,488173,1487,496726.8435,505394.2823,514108.6081,522842.2866,531583.9531,Jamaica Hills,$2.09 ,,
137,Jamaica Estates,979618,2404,1005405.814,1031814.842,1058330.587,1084864.666,1111401.893,Kensington,$2.77 ,,
140,Jamaica Hills,474217,1534,484382.7261,494723.2846,505112.5405,515515.3603,525921.9582,Kew Gardens,$2.48 ,,
240,John F. Kennedy International Airport,641211,1939,660423,679635,698847,718059,737271,Kew Gardens Hills,$2.64 ,,
43,Kensington,562772,1935,569554.1819,578996.6886,589853.6265,601462.5837,613471.3717,Kingsbridge,$2.51 ,,
104,Kew Gardens,295634,2340,300185.6998,305836.2931,311737.3985,317695.6125,323666.8454,Kips Bay,$5.40 ,,
57,Kew Gardens Hills,354780,1658,362624.4804,371337.6202,380243.6115,389192.4178,398150.7295,Koreatown,$7.16 ,,
82,Kingsbridge,251297,1841,258007.87,264587.5826,271166.917,277746.2502,284325.5835,Little Italy,$4.90 ,,
91,Laurelton,508399,1390,518700.1421,528438.4402,537965.8884,547414.3492,556833.2199,Long Island City,$4.50 ,,
231,Lighthouse Hill,1006087,1717,1027471.385,1052896.687,1078692.442,1104522.16,1130354.991,Lower East Side,$5.23 ,,
167,Little Italy,2193478,1831,2260342.329,2325352.089,2390361.85,2455371.61,2520381.371,Manor Heights,$1.02 ,,
100,Little Neck,730238,1890,745286.4627,763246.3247,781741.0512,800334.0396,818945.0802,Mapleton,$2.20 ,,
64,Longwood,353893,1529,357614.319,361148.051,364681.783,368215.5149,371749.2469,Marine Park,$1.87 ,,
23,Lower East Side,1110557,1981,1137463.93,1165619.278,1194382.575,1223441.93,1252645.456,Mariners Harbor,$1.79 ,,
230,Malba,1321604,1874,1349477.396,1382457.899,1416116.83,1449865.884,1483626.91,Maspeth,$2.04 ,,
192,Manhattan Beach,1177640,2006,1214274.653,1250909.305,1287543.958,1324178.611,1360813.263,Melrose,$3.16 ,,
121,Manhattanville,710025,1814,739755.9677,769486.9355,799217.9032,828948.871,858679.8387,Middle Village,$2.24 ,,
97,Marine Park,670309,1386,684061.5637,700301.163,717016.2383,733822.2159,750645.5724,Midland Beach,$1.86 ,,
145,Mariners Harbor,379983,1970,383729.4501,389496.6186,395976.8342,402708.6612,409529.2739,Midtown East,$5.13 ,,
47,Maspeth,739006,1375,757974.8222,777752.8848,797716.8282,817723.468,837739.9151,Midwood,$2.24 ,,
188,Meiers Corners,557417,1946,566885.8938,577774.7406,589296.7752,601101.1617,613031.4551,Morris Heights,$1.12 ,,
61,Melrose,335526,1719,347234.8842,356120.8845,364979.7539,373838.3625,382696.9686,Morris Park,$1.88 ,,
83,Middle Village,758237,1328,776507.3936,796435.4005,816652.7797,836920.6751,857197.3893,Mott Haven,$2.62 ,,
176,Midland Beach,536639,1261,546387.2736,558054.8943,570379.7553,582929.6745,595556.6601,Mount Hope,$2.55 ,,
125,Midtown,1257820,1655,1296338.787,1291668.068,1279834.22,1263404.141,1242558.785,Murray Hill,$5.79 ,,
33,Midwood,805356,2041,824065.2261,844244.3339,864990.0341,885954.1375,907002.4283,New Brighton,$1.57 ,,
154,Mill Basin,790666,2633,807563.2405,826810.2925,846673.4325,866698.1021,886765.1227,New Dorp,$2.36 ,,
67,Morningside Heights,786186,1685,807122.8253,830980.914,854862.499,878744.2887,902626.0801,New Dorp Beach,$1.59 ,,
60,Morris Heights,446212,1726,458495.7935,465945.2487,472347.5655,478523.0676,484649.4406,New Springville,$1.38 ,,
72,Morris Park,339247,1923,352376.6917,362232.8692,370704.7041,378591.1115,386229.9465,NoHo,$7.38 ,,
46,Mott Haven,594227,1705,586466.5652,560023.4316,545214.4058,539133.7704,537100.1109,NoLita,$5.88 ,,
26,Murray Hill,662832,3682,679262.3709,697686.9329,716332.6866,735002.9743,753675.9834,NoMad,$7.63 ,,
168,Murray Hill,743034,3682,771843.0014,795420.598,818917.2071,842412.3624,865907.4915,Norwood,$2.13 ,,
239,Navy Yard,983839,1502,1000610.419,996477.7147,997431.4948,997336.3158,997271.612,Oakwood,$0.80 ,,
233,Neponsit,1193896,1834,1218866.478,1247201.2,1275597.192,1303994.299,1332391.427,Ocean Hill,$2.61 ,,
191,New Brighton,449242,1510,453229.4337,458758.6793,464885.9308,471245.1241,477694.2783,Ozone Park,$1.67 ,,
196,New Dorp,643179,1417,655908.352,669086.3499,682489.411,696005.3749,709577.9766,Park Slope,$3.56 ,,
217,New Dorp Beach,528696,1899,538623.0238,549275.7206,560230.2044,571310.1933,582442.3761,Parkchester,$2.43 ,,
190,New Springville,588241,1706,598003.6014,611169.5417,625138.5729,639297.1107,653500.3667,Pelham Bay,$1.93 ,,
119,New Utrecht,920738,1857,945236.4148,973010.3368,1000919.38,1028833.998,1056748.846,Pelham Gardens,$1.89 ,,
198,NoHo,1761496,1860,1779093.288,1805254.258,1831415.229,1857576.2,1883737.171,Pelham Parkway,$2.17 ,,
150,North Riverdale,313430,1713,333281.8849,343876.3478,367226.3092,377782.775,398029.6273,Port Richmond,$1.54 ,,
66,Norwood,202316,1963,209728.8748,215218.8761,219864.3101,224115.5111,228182.6892,Prince's Bay,$0.81 ,,
105,Oakland Gardens,309929,1561,315424.0926,323040.6846,330989.1233,338989.4697,346997.9355,Prospect Heights,$4.00 ,,
152,Oakwood,570383,1333,581609.6732,594924.8588,608732.3765,622655.9533,636606.8893,Prospect Park,$4.00 ,,
84,Ocean Hill,716186,1530,730710.1824,748242.0937,766482.055,784888.6983,803334.5803,Queens Village,$4.27 ,,
59,Ocean Parkway,618870,1823,636102.3576,654999.6435,673935.2781,692871.796,711808.3343,Red Hook,$3.21 ,,
186,Old Town,593443,1650,603573.0048,616345.6878,629963.989,643852.8756,657828.3455,Rego Park,$2.64 ,,
37,Ozone Park,574235,1246,586298.4558,598121.8131,609868.4427,621590.5525,633304.8265,Richmond Hill,$2.20 ,,
172,Park Hill,429721,1612,437278.8426,445970.4867,454985.2132,464092.0037,473225.0284,Ridgewood,$2.73 ,,
31,Park Slope,1018482,3057,1016958.987,1043595.865,1071833.621,1100162.387,1128496.326,Riverdale,$2.52 ,,
62,Parkchester,178362,1524,186901.2461,191250.4967,195071.0571,198824.9078,202570.3412,Rockaway Beach,$1.91 ,,
101,Pelham Bay,524224,1512,540740.7004,553738.6084,565552.2457,576967.3096,588248.2313,Roosevelt Island,$3.84 ,,
232,Pelham Bay Park,1050474,1624,1072349.566,1094225.133,1116100.699,1137976.265,1159851.831,Rosebank,$1.60 ,,
98,Pelham Gardens,561162,1722,575407.0267,589552.1664,603697.3061,617842.4458,631987.5855,Rosedale,$2.41 ,,
214,Pleasant Plains,627597,1935,617397,607197,596997,586797,576597,Rossville,$1.38 ,,
163,Pomonok,294431,1795,302833.1731,310203.9832,317573.7909,324943.5977,332313.4045,Sheepshead Bay,$2.77 ,,
209,Port Ivory,325063,1221,331583.6413,338513.9516,345587.9199,352712.2646,359854.2746,Soho,$6.74 ,,
221,Port Morris,561405,1546,567638.1223,573679.9317,579721.741,585763.5503,591805.3597,South Beach,$1.41 ,,
126,Port Richmond,414536,1360,416413.715,422002.3183,428880.0018,436205.4832,443686.5198,St. Albans,$2.22 ,,
171,Prince's Bay,701211,1575,681735,662259,642783,623307,603831,St. George,$1.95 ,,
222,Prospect Park,2354997,1524,2385599.327,2419003.103,2452406.878,2485810.654,2519214.429,Stapleton,$1.87 ,,
81,Prospect-Lefferts Gardens,1002586,1916,1025385.716,1054964.913,1085596.682,1116410.452,1147255.693,Stuyvesant Town - Peter Cooper Village,$4.97 ,,
45,Queens Village,554367,1403,568408.0581,582433.9688,596459.8794,610485.7901,624511.7008,Sunnyside,$1.80 ,,
204,Randall Manor,603996,1939,611320.5876,623364.5399,636670.626,650314.2537,664048.1527,Sunset Park,$2.31 ,,
157,Red Hook,1756626,2038,1786588.145,1816732.056,1846875.966,1877019.877,1907163.787,Theater District,$5.59 ,,
58,Rego Park,374568,1496,378241.5095,387677.0212,397678.5262,407735.6279,417798.1909,Throgs Neck,$2.05 ,,
38,Richmond Hill,586355,1379,596622.276,607712.0718,619045.7727,630451.7997,641879.2739,Todt Hill,$1.31 ,,
212,Richmond Valley,702103,1570,655291,608479,561667,514855,468043,Tompkinsville,$2.72 ,,
175,Richmondtown,586094,1501,597893.2728,611818.3661,626240.3866,640778.5676,655343.9021,Tottenville,$2.09 ,,
29,Ridgewood,785386,1177,863614,941842,1020070,1098298,1176526,Travis - Chelsea,$2.24 ,,
141,Riverdale,356216,2564,363499.5,370783,378066.5,385350,392633.5,Tribeca,$7.64 ,,
79,Rochdale,513248,1798,523786.798,534187.5576,544543.9506,554886.0837,565223.6336,Turtle Bay,$4.99 ,,
133,Rockaway Park,311501,1247,312893,314285,315677,317069,318461,Two Bridges,$5.25 ,,
153,Roosevelt Island,930506,1976,951440.1818,972374.3636,993308.5455,1014242.727,1035176.909,Unionport,$2.41 ,,
155,Rosebank,516043,1515,522944.8921,533102.2592,544208.5733,555591.4985,567055.0539,University Heights,$2.07 ,,
96,Rosedale,516768,1298,525872.2508,535260.5853,544750.2434,554276.0404,563814.727,Upper East Side,$5.03 ,,
162,Rossville,461034,1760,467993.4567,475677.8462,483682.4939,491828.6239,500037.2574,Upper West Side,$5.53 ,,
19,Sheepshead Bay,405698,1463,415006.4679,425760.0086,436808.7923,447917.8973,459039.3265,Utopia,$4.00 ,,
235,Shore Acres,415924,1786,426197.0583,436874.3898,447571.5529,458269.6889,468967.8726,Van Nest,$2.07 ,,
228,Silver Lake,699936,1462,710981.0022,724760.1021,739494.483,754562.6348,769747.4045,Vinegar Hill,$3.71 ,,
165,SoHo,2545307,4608,2612006.912,2679973.863,2747940.815,2815907.766,2883874.717,Wakefield,$2.08 ,,
21,Soundview,227943,1402,240185.41,246068.3038,250707.9218,255104.4813,259453.5232,Washington Heights,$3.18 ,,
177,South Beach,532487,1275,538933.4549,548769.382,559693.8705,570967.9607,582354.3289,West Brighton,$1.91 ,,
20,South Bronx,343388,1659,354718.2615,363448.2729,372116.9149,380784.1084,389451.2678,West Farms,$2.00 ,,
25,South Ozone Park,561906,1194,572668.4214,581085.3031,587766.9966,593165.0292,597613.4324,West Harlem,$4.10 ,,
114,Springfield Gardens,501285,1281,511129.745,520468.425,529606.283,538664.4486,547690.99,West Village,$7.68 ,,
127,Spuyten Duyvil,357674,1566,367446.5337,375510.6574,383574.781,391638.9046,399703.0282,Westerleigh,$1.34 ,,
74,St. Albans,503108,1408,513424.8249,523496.9437,533472.2074,543409.1356,553330.8907,Williamsbridge,$1.80 ,,
148,St. George,458262,1729,466666.8012,476562.7164,486891.5717,497346.1298,507837.1853,Williamsburg,$5.15 ,,
160,Stapleton,418759,1389,426031.8562,433528.0764,441111.7765,448729.738,456361.1179,Windsor Terrace,$3.36 ,,
54,Sunnyside,482659,1427,496220.7228,511320.5936,526455.9337,541592.0917,556728.2686,Woodhaven,$2.05 ,,
215,Sunnyside,635405,1426,646012.4469,657290.5867,668881.4988,680618.2698,692423.0608,Woodlawn Heights,$2.43 ,,
15,Sunset Park,584989,1425,601070.3849,618558.6943,636086.6936,653615.8126,671144.9632,Woodrow,$0.91 ,,
110,Sutton Place,860175,1907,889920.9037,917871.4589,945822.0141,973772.5694,1001723.125,Woodside,$2.58 ,,
76,Throgs Neck,494651,1883,507963.1243,519755.8525,531072.5767,542240.1761,553361.0569,,,,
202,Todt Hill,1181008,3313,1203319.506,1230909.46,1260102.491,1289782.38,1319610.13,,,,
194,Tompkinsville,489283,1379,497311.9613,506767.0171,516774.0834,526994.8211,537298.2664,,,,
159,Tottenville,614514,2131,626413.9259,640495.531,654937.1448,669438.1653,683948.9887,,,,
42,Tremont,238475,1780,245294.3406,251546.6592,257798.9777,264051.2963,270303.6149,,,,
116,Tribeca,2988710,6998,3063413.925,3148373.012,3233624.611,3318884.553,3404144.732,,,,
120,Turtle Bay,769145,1975,804205.0194,800766.3624,787593.9749,769816.1171,748347.0634,,,,
117,Unionport,479277,1723,497339.7013,509999.9816,520340.5732,529685.1383,538602.0299,,,,
49,University Heights,259853,1906,266333.2544,272423.9664,278416.9041,284388.386,290355.1596,,,,
1,Upper East Side,967748,5776,1009979.14,1047054.139,1082101.472,1116351.421,1150287.796,,,,
0,Upper West Side,1243760,4948,1279746.224,1316151.399,1352556.575,1388961.75,1425366.925,,,,
223,Utopia,970727,1681,994716.6733,1019599.356,1044601.285,1069619.137,1094639.115,,,,
132,Van Nest,537513,1700,554346.6024,567321.6179,578893.0363,589953.8831,600829.0048,,,,
234,Vinegar Hill,1309047,1828,1146519,983991,821463,658935,496407,,,,
71,Wakefield,480630,1447,492855.9818,502223.3809,510484.2372,518316.7566,525983.4689,,,,
3,Washington Heights,553749,1740,486189,418629,351069,283509,215949,,,,
113,West Brighton,545541,1794,555426.3661,567299.8121,579846.6928,592621.6903,605473.9593,,,,
122,West Farms,318498,1638,334489.5164,343095.3643,349100.3488,354189.4392,358955.9974,,,,
107,West Village,1207568,1750,1242197.595,1279554.576,1316952.723,1354351.491,1391750.269,,,,
136,Westchester Square,397937,1865,411457.302,421655.6863,430522.8961,438856.6713,446976.6861,,,,
197,Westerleigh,557524,1318,566998.9529,578202.9179,590095.6126,602262.6539,614538.9777,,,,
69,Whitestone,803498,1652,820828.3158,841580.0878,862750.7186,883972.6266,905200.812,,,,
11,Williamsbridge,317957,1422,328968.7051,336426.6123,342589.6754,348280.9556,353800.3394,,,,
6,Williamsburg,874968,1556,896857.7484,924537.7175,952373.8665,980214.2282,1008054.703,,,,
164,Willowbrook,570169,1685,579591.2565,592008.2198,605312.0131,618878.4256,632522.6081,,,,
129,Windsor Terrace,761647,1386,775939.1474,796232.9164,816852.4776,837489.7241,858127.9307,,,,
115,Wingate,568572,1861,639810.1826,676852.5722,706267.3185,733889.64,761001.1379,,,,
65,Woodhaven,596355,1449,600603.4504,604734.3303,608836.4382,612931.5049,617024.8486,,,,
189,Woodlawn,319422,1726,324070.0842,328718.1684,333366.2526,338014.3368,342662.4211,,,,
195,Woodrow,618197,1650,630582.1564,644510.3451,658926.9292,673498.0987,688118.197,,,,
50,Woodside,413179,1402,425153.696,436738.4911,448300.8097,459861.8327,471422.781,,,,
